description,gold_biosample_identifiers,id,insdc_biosample_identifiers,name,samp_name
"Oligotrophic lake microbial communities from Wisconsin, USA",['gold:Gb0145236'],nmdc:bsm-11-r700jq65,['biosample:SAMN06269063'],"Oligotrophic lake water microbial communities from Sparkling Lake, Wisconsin, USA - GEODES005 metaG",GEODES005 metaG
"Dystrophic lake microbial communities from Wisconsin, USA",['gold:Gb0145238'],nmdc:bsm-11-s64hgm80,['biosample:SAMN06269065'],"Dystrophic lake water microbial communities from Trout Bog Lake, Wisconsin, USA - GEODES057 metaG",GEODES057 metaG
"Dystrophic lake microbial communities from Wisconsin, USA",['gold:Gb0145239'],nmdc:bsm-11-gdt4fq80,['biosample:SAMN06269066'],"Dystrophic lake water microbial communities from Trout Bog Lake, Wisconsin, USA - GEODES058 metaG",GEODES058 metaG
"Dystrophic lake microbial communities from Wisconsin, USA",['gold:Gb0144915'],nmdc:bsm-11-kv73w131,['biosample:SAMN06265075'],"Dystrophic lake water microbial communities from Trout Bog Lake, Wisconsin, USA - GEODES063 metaT",GEODES063 metaT
"Oligotrophic lake microbial communities from Wisconsin, USA",['gold:Gb0144897'],nmdc:bsm-11-vntr4k61,['biosample:SAMN06264645'],"Oligotrophic lake water microbial communities from Sparkling Lake, Wisconsin, USA - GEODES035 metaT",GEODES035 metaT
"Dystrophic lake microbial communities from Wisconsin, USA",['gold:Gb0144922'],nmdc:bsm-11-hzzj3m89,['biosample:SAMN06265129'],"Dystrophic lake water microbial communities from Trout Bog Lake, Wisconsin, USA - GEODES073 metaT",GEODES073 metaT
"Dystrophic lake microbial communities from Wisconsin, USA",['gold:Gb0144924'],nmdc:bsm-11-gt4sm083,['biosample:SAMN06264641'],"Dystrophic lake water microbial communities from Trout Bog Lake, Wisconsin, USA - GEODES075 metaT",GEODES075 metaT
"Dystrophic lake microbial communities from Wisconsin, USA",['gold:Gb0144925'],nmdc:bsm-11-gpkjsg19,['biosample:SAMN06265119'],"Dystrophic lake water microbial communities from Trout Bog Lake, Wisconsin, USA - GEODES077 metaT",GEODES077 metaT
"Eutrophic lake microbial communities from Wisconsin, USA",['gold:Gb0144981'],nmdc:bsm-11-a6g87498,['biosample:SAMN06269045'],"Eutrophic lake water microbial communities from Lake Mendota, Wisconsin, USA - GEODES163 metaT",GEODES163 metaT
"Lake water microbial communities from Wisconsin, USA",['gold:Gb0148834'],nmdc:bsm-11-wnd5y780,['biosample:SAMN07630516'],"Dystrophic lake water microbial communities from Trout Bog Lake, Wisconsin, USA - GEODES100 metaT",GEODES100 metaT
"Lake water microbial communities from Wisconsin, USA",['gold:Gb0148843'],nmdc:bsm-11-ev7f4849,['biosample:SAMN07630525'],"Oligotrophic lake water microbial communities from Sparkling Lake, Wisconsin, USA - GEODES024 metaT",GEODES024 metaT
"Lake water microbial communities from Wisconsin, USA",['gold:Gb0148844'],nmdc:bsm-11-zqhbrj43,['biosample:SAMN07630526'],"Oligotrophic lake water microbial communities from Sparkling Lake, Wisconsin, USA - GEODES029 metaT",GEODES029 metaT
"Lake water microbial communities from Wisconsin, USA",['gold:Gb0148840'],nmdc:bsm-11-wqrywf54,['biosample:SAMN07630522'],"Dystrophic lake water microbial communities from Trout Bog Lake, Wisconsin, USA - GEODES103 metaT",GEODES103 metaT
"Lake water microbial communities from Wisconsin, USA",['gold:Gb0148850'],nmdc:bsm-11-feq2n681,['biosample:SAMN07630532'],"Eutrophic lake water microbial communities from Lake Mendota, Wisconsin, USA - GEODES143 metaT",GEODES143 metaT
"Lake water microbial communities from Wisconsin, USA",['gold:Gb0148836'],nmdc:bsm-11-wj0rgm84,['biosample:SAMN07630518'],"Eutrophic lake water microbial communities from Lake Mendota, Wisconsin, USA - GEODES128 metaT",GEODES128 metaT
"Lake water microbial communities from Wisconsin, USA",['gold:Gb0148848'],nmdc:bsm-11-0ch3bt53,['biosample:SAMN07630530'],"Dystrophic lake water microbial communities from Trout Bog Lake, Wisconsin, USA - GEODES064 metaT",GEODES064 metaT
